address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
2500 Moreland Rd,Restaurant,Willow Grove,US,us/pa/willowgrove/2500morelandrd/-41227421,40.140363,-75.123215,12.99,12.99,USD,2016-04-24T00:00:00Z,"Grilled chicken, creamy spinach, Applewood bacon, green onions, Mozzarella, Provolone","Chicken, Spinach Bacon Pizza",Bravo Cucina Italiana - Willow Grove,19090,USD,0,30,PA
2500 Moreland Rd,Restaurant,Willow Grove,US,us/pa/willowgrove/2500morelandrd/-41227421,40.140363,-75.123215,11.49,11.49,USD,2016-08-20T00:00:00Z,,Margherita Pizza,Bravo Cucina Italiana - Willow Grove,19090,USD,0,30,PA
2500 Moreland Rd,Restaurant,Willow Grove,US,us/pa/willowgrove/2500morelandrd/-41227421,40.140363,-75.123215,12.29,12.29,USD,2016-08-20T00:00:00Z,"Roasted banana peppers, Mozzarella, Provolone, oregano",Pepperoni Classica Pizza,Bravo Cucina Italiana - Willow Grove,19090,USD,0,30,PA
2500 Moreland Rd,Restaurant,Willow Grove,US,us/pa/willowgrove/2500morelandrd/-41227421,40.140363,-75.123215,10.99,10.99,USD,2016-04-24T00:00:00Z,,Prosciutto Fennel Pizza,Bravo Cucina Italiana - Willow Grove,19090,USD,0,30,PA
2500 Moreland Rd,Restaurant,Willow Grove,US,us/pa/willowgrove/2500morelandrd/-41227421,40.140363,-75.123215,12.99,12.99,USD,2016-04-24T00:00:00Z,"Sweet Italian sausage, pepperoni, meatballs, mushrooms, banana peppers, Mozzarella, Provolone",Sicilian Pizza,Bravo Cucina Italiana - Willow Grove,19090,USD,0,30,PA
428 Springfield Ave,Restaurant,Berkeley Heights,US,us/nj/berkeleyheights/428springfieldave/-1871185557,40.684811,-74.438187,10,10,USD,2016-08-06T00:00:00Z,"Basil, garlic, tomato and fresh mozzarella",Grilled Flatbread Pizza,Delicious Heights Berkley Heights,7922,USD,0,30,NJ
222 E Main St,Mexican Restaurant,Mount Kisco,US,us/ny/mountkisco/222emainst/-294613921,41.20270479,-73.72645245,8.75,8.75,USD,2016-07-10T22:53:34Z,,Pizza Burger,Mango Cafe,10549,USD,25,40,NY
7625 N Union Blvd,Sports Bar,Colorado Springs,US,us/coloradospgs/coloradosprings/7625nunionblvd/-1746793741,38.94356982,-104.7741287,13.95,13.95,USD,2016-06-08T16:05:11Z,,Good Company Fiesta Pizza,Good Company Bar,80920,USD,25,40,Colorado Spgs
7625 N Union Blvd,Sports Bar,Colorado Springs,US,us/coloradospgs/coloradosprings/7625nunionblvd/-1746793741,38.94356982,-104.7741287,12.95,12.95,USD,2016-06-08T16:05:11Z,,Kickin Chicken Pizza,Good Company Bar,80920,USD,25,40,Colorado Spgs
7625 N Union Blvd,Sports Bar,Colorado Springs,US,us/coloradospgs/coloradosprings/7625nunionblvd/-1746793741,38.94356982,-104.7741287,13.95,13.95,USD,2016-06-08T16:05:11Z,"Loaded with pepperoni, ham, chicken, bacon, beef, italian sausage and mozzarella",Meat Lovers Pizza,Good Company Bar,80920,USD,25,40,Colorado Spgs
7625 N Union Blvd,Sports Bar,Colorado Springs,US,us/coloradospgs/coloradosprings/7625nunionblvd/-1746793741,38.94356982,-104.7741287,10.95,10.95,USD,2016-06-08T16:05:11Z,"Ranch dressing, grilled chicken, tomatoes, green onions and cheese",Wild Ranch Pizza,Good Company Bar,80920,USD,25,40,Colorado Spgs
4144 Erie St,Bar,Willoughby,US,us/willoughbyhills/willoughby/4144eriest/-1999620209,41.63995811,-81.40695065,7,7,USD,2017-02-10T22:03:17Z,"Pick a sauce, red sauce, hand crushed tomato, basil pesto or white garlic",Make Your Own Pizza,The Wild Goose,44094,USD,25,40,Willoughby Hills
3701 N E 163rd St,Restaurant,North Miami Beach,US,us/miami/northmiamibeach/3701ne163rdst/-1470998848,25.926231,-80.16354,15,15,USD,2016-04-24T00:00:00Z,"buffalo mozzarella, pomodoro, garden basil",Margherita Pizza,The Tuck Room-north Miami,33160,USD,0,30,Miami
3701 N E 163rd St,Restaurant,North Miami Beach,US,us/miami/northmiamibeach/3701ne163rdst/-1470998848,25.926231,-80.16354,16,16,USD,2016-04-24T00:00:00Z,"roasted garlic ricotta, mozzarella, parmigiano, fresh thyme",Roasted Mushroom Pizza,The Tuck Room-north Miami,33160,USD,0,30,Miami
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,6.49,6.49,USD,2016-05-09T20:15:01Z,"Artichoke hearts, olives, onions, oregano, fresh tomatoes, feta cheese and fresh garlic",Artichoke Combo Pizza,City Pizza,12010,,0,0,West Glenville
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,6.49,6.49,USD,2016-05-09T20:15:01Z,"Salami, pepperoni, italian sausage, canadian bacon, linguica",Carnivore Pizza,City Pizza,12010,,0,0,West Glenville
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,6.49,6.49,USD,2016-05-09T20:15:01Z,"Chicken, sliced mushrooms, red and green onions, fresh garlic, fresh tomatoes and italian seasoning",Chicken Gourmet Pizza,City Pizza,12010,,0,0,West Glenville
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,6.49,6.49,USD,2016-05-09T20:15:01Z,"Bbq sauce, chicken strips, red and green onions, fresh tomatoes and green peppers",Chicken Supreme Pizza,City Pizza,12010,,0,0,West Glenville
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,6.49,6.49,USD,2016-05-09T20:15:01Z,"Pepperoni, italian sausage, canadian bacon, green peppers, onions, olives, mushrooms, fresh tomatoes",City Combo Pizza,City Pizza,12010,,0,0,West Glenville
1370 Riverfront Ctr,Pizza Place,Amsterdam,US,us/westglenville/amsterdam/1370riverfrontctr/-1090818563,42.93636,-74.18918,6.49,6.49,USD,2016-05-09T20:15:01Z,"Pepperoni, italian sausage, mushrooms, onions, green peppers",City Special Pizza,City Pizza,12010,,0,0,West Glenville
